0,0,0,-0,1.047198,-0.10472
0.050042,0.052403,-0.000137,-0.005241,1.047154,-0.104733
0.100083,0.104799,-0.000549,-0.010482,1.047025,-0.104772
0.150125,0.157185,-0.001236,-0.015727,1.046809,-0.104836
0.200167,0.209553,-0.002197,-0.020975,1.046508,-0.104927
0.250209,0.261898,-0.003432,-0.026229,1.04612,-0.105044
0.30025,0.314214,-0.004943,-0.031489,1.045646,-0.105186
0.350292,0.366496,-0.006727,-0.036757,1.045086,-0.105355
0.400334,0.418737,-0.008786,-0.042034,1.044441,-0.10555
0.450375,0.470933,-0.01112,-0.047321,1.043711,-0.105772
0.500417,0.523077,-0.013728,-0.05262,1.042895,-0.106019
0.550459,0.575163,-0.016609,-0.057932,1.041994,-0.106294
0.6005,0.627186,-0.019766,-0.063259,1.041009,-0.106595
0.650542,0.67914,-0.023196,-0.068601,1.039939,-0.106922
0.700584,0.73102,-0.0269,-0.07396,1.038785,-0.107277
0.750626,0.782819,-0.030878,-0.079338,1.037547,-0.107659
0.800667,0.834533,-0.03513,-0.084736,1.036226,-0.108068
0.850709,0.886154,-0.039655,-0.090154,1.034822,-0.108505
0.900751,0.937679,-0.044454,-0.095596,1.033336,-0.10897
0.950792,0.9891,-0.049527,-0.101061,1.031768,-0.109462
1.000834,1.040413,-0.054872,-0.106551,1.030118,-0.109983
1.050876,1.091611,-0.060491,-0.112069,1.028387,-0.110532
1.100917,1.14269,-0.066383,-0.117614,1.026576,-0.111111
1.150959,1.193643,-0.072547,-0.12319,1.024685,-0.111718
1.201001,1.244465,-0.078984,-0.128796,1.022714,-0.112354
1.251043,1.29515,-0.085694,-0.134435,1.020665,-0.11302
1.301084,1.345693,-0.092676,-0.140108,1.018538,-0.113717
1.351126,1.396088,-0.09993,-0.145817,1.016334,-0.114443
1.401168,1.44633,-0.107455,-0.151562,1.014053,-0.1152
1.451209,1.496412,-0.115253,-0.157347,1.011697,-0.115988
1.501251,1.546331,-0.123322,-0.163171,1.009265,-0.116808
1.551293,1.59608,-0.131662,-0.169038,1.00676,-0.117659
1.601334,1.645653,-0.140273,-0.174948,1.00418,-0.118543
1.651376,1.695045,-0.149155,-0.180902,1.001529,-0.119459
1.701418,1.744252,-0.158307,-0.186904,0.998806,-0.120408
1.75146,1.793267,-0.16773,-0.192954,0.996012,-0.12139
1.801501,1.842084,-0.177422,-0.199054,0.993149,-0.122406
1.851543,1.8907,-0.187385,-0.205205,0.990217,-0.123457
1.901585,1.939108,-0.197616,-0.21141,0.987218,-0.124542
1.951626,1.987302,-0.208117,-0.21767,0.984152,-0.125663
2.001668,2.035279,-0.218887,-0.223988,0.98102,-0.12682
2.05171,2.083032,-0.229926,-0.230364,0.977824,-0.128012
2.101751,2.130556,-0.241233,-0.2368,0.974566,-0.129242
2.151793,2.177846,-0.252807,-0.243299,0.971245,-0.130509
2.201835,2.224897,-0.26465,-0.249862,0.967864,-0.131813
2.251877,2.271703,-0.27676,-0.256492,0.964423,-0.133156
2.301918,2.31826,-0.289137,-0.26319,0.960925,-0.134538
2.35196,2.364562,-0.30178,-0.269958,0.957369,-0.135959
2.402002,2.410605,-0.31469,-0.276798,0.953759,-0.137419
